Rank,Feature,Importance
1,Init Bwd Win Bytes,0.04228419412698975
2,Fwd Packet Length Max,0.0314891703064256
3,Fwd Seg Size Min,0.028728260527405583
4,Flow IAT Mean,0.02728851709504116
5,Init Fwd Win Bytes,0.026954994967155296
6,Subflow Bwd Bytes,0.02660897634862805
7,Bwd Header Length,0.02660122888402201
8,Bwd Packet Length Max,0.026576255967153854
9,Flow Duration,0.026191671328653177
10,Bwd Packets/s,0.025771477426074347
11,Avg Bwd Segment Size,0.025769179387857815
12,Flow IAT Std,0.02269320605291612
13,Flow Packets/s,0.022519200985985952
14,Bwd Packets Length Total,0.02171238189063316
15,Fwd Packets/s,0.02144150180437923
16,Fwd IAT Total,0.021377390442389167
17,Bwd Packet Length Mean,0.021224055948058825
18,Subflow Bwd Packets,0.020762992341366845
19,Packet Length Mean,0.020110546939607708
20,Fwd Act Data Packets,0.019522589053767657
21,Packet Length Max,0.019405430970370067
22,Fwd Packet Length Std,0.019309339179423388
23,Flow IAT Max,0.019092030010834666
24,Fwd IAT Max,0.01898803474998777
25,Total Backward Packets,0.018914948024907292
26,Avg Packet Size,0.018735676749256504
27,Fwd IAT Mean,0.018600202944606296
28,Avg Fwd Segment Size,0.018389786680440282
29,Fwd Packet Length Mean,0.018299020586371836
30,Fwd IAT Std,0.018194564794330566
31,Subflow Fwd Bytes,0.017223921209432815
32,Packet Length Variance,0.01721240795312361
33,Fwd Packets Length Total,0.017200662938174707
34,Fwd Header Length,0.016454477061833787
35,Total Fwd Packets,0.015306129659270149
36,Packet Length Std,0.015148210926192009
37,Bwd Packet Length Std,0.014865256053894793
38,Flow IAT Min,0.014651403047251004
39,Fwd IAT Min,0.013772071804082433
40,Subflow Fwd Packets,0.013373952997507316
41,Bwd IAT Total,0.012741026103986168
42,Flow Bytes/s,0.011942947393790482
43,PSH Flag Count,0.01181807979450944
44,Active Min,0.0117521253565904
45,Bwd IAT Mean,0.010095186030665419
46,Bwd IAT Max,0.009896112028120753
47,Bwd IAT Min,0.008679527374708153
48,Bwd IAT Std,0.0073449112389965135
49,ACK Flag Count,0.006798103279677253
50,Active Mean,0.006398159037276845
51,Packet Length Min,0.006006294526553605
52,Idle Mean,0.005827858607101939
53,Idle Min,0.005618119144975735
54,Bwd Packet Length Min,0.005056165628894901
55,Idle Max,0.0048256247721697705
56,Protocol,0.004685621865841081
57,SYN Flag Count,0.004057078188751725
58,Fwd Packet Length Min,0.0039256628268810965
59,Fwd PSH Flags,0.0036928000749405754
60,Active Max,0.003556873226878905
61,URG Flag Count,0.0031421654708625483
62,Down/Up Ratio,0.0020189918264374705
63,Idle Std,0.0008746075130562602
64,FIN Flag Count,0.00040145091940389484
65,Active Std,7.916820191952618e-05
66,Fwd URG Flags,1.9298751196075997e-08
67,CWE Flag Count,1.0245577587100336e-10
68,ECE Flag Count,1.344855759987315e-17
69,RST Flag Count,4.089948254879467e-18
